Date,BTC_Price_Speed,M2_Expansion_Speed
20250908,2.588682522893704,0.0
20250909,0.2754224851292397,0.0
20250910,2.018061565518892,0.0
20250911,4.291323639017741,0.0
20250912,4.8521873172046925,0.0
20250913,5.200495117570458,0.0
20250914,3.71672562974783,0.0
20250915,2.930864461706828,0.0
20250916,4.699901090479042,0.0
20250917,2.182862407862407,0.0
20250918,1.3775571040127277,0.0
20250919,-0.3421890758395496,0.0
20250920,-0.2007103451922787,0.0
20250921,-0.0309886498430889,0.0
20250922,-2.339598426385292,0.0
20250923,-4.101552064510205,0.0
20250924,-2.696998709891718,0.0
20250925,-6.900825489758445,0.0
20250926,-5.179275908703085,0.0
20250927,-5.229499981977015,0.0
20250928,-2.66274322935004,0.0
20250929,1.474438884203333,0.0
20250930,1.8304928267088405,0.0
20251001,4.666957910808689,0.3867296359158834
20251002,10.58297534123056,0.3867296359158834
20251003,11.48134143158195,0.3867296359158834
20251004,11.634105085152346,0.3867296359158834
20251005,10.090907105179523,0.3867296359158834
20251006,9.051178896766343,0.3867296359158834
20251007,6.386749967755079,0.3867296359158834
20251008,3.9723516145159232,0.0
20251009,0.9400614870983536,0.0
20251010,-7.737335558609859,0.0
20251011,-9.597601130802104,0.0
20251012,-6.90261625329166,0.0
20251013,-7.614833287795597,0.0
20251014,-6.844645250939663,0.0
20251015,-10.172027314161516,0.0
20251016,-11.070075882113118,0.0
20251017,-5.624338835463694,0.0
20251018,-3.12658390302627,0.0
20251019,-5.49415964676041,0.0
20251020,-4.0236788635534815,0.0
20251021,-4.185214407668747,0.0
20251022,-2.885288337434566,0.0
20251023,1.7412195912759776,0.0
20251024,4.296850336290858,0.0
20251025,4.162205144170827,0.0
20251026,5.445939435644043,0.0
20251027,3.234861477784423,0.0
20251028,4.248272377420492,0.0
20251029,2.281220042049892,0.0
20251030,-1.594593951317136,0.0
20251031,-2.114591528355192,0.0
