Date,Close,High,Low,Open,Volume
20250902,3549.39990234375,3559.199951171875,3485.699951171875,3485.699951171875,658
20250903,3593.199951171875,3593.699951171875,3553.199951171875,3554.800048828125,72
20250904,3565.800048828125,3573.60009765625,3549.89990234375,3549.89990234375,237
20250905,3613.199951171875,3613.199951171875,3567.800048828125,3567.800048828125,925
20250908,3638.10009765625,3641.0,3590.0,3594.5,97
20250909,3643.300048828125,3670.39990234375,3627.800048828125,3647.10009765625,535
20250910,3643.60009765625,3655.39990234375,3620.800048828125,3625.0,136
20250911,3636.89990234375,3636.89990234375,3618.39990234375,3632.89990234375,307
20250912,3649.39990234375,3656.800048828125,3643.0,3655.5,1300
20250915,3682.199951171875,3686.39990234375,3635.10009765625,3640.0,210
20250916,3688.89990234375,3698.60009765625,3681.39990234375,3681.39990234375,373
20250917,3681.800048828125,3685.199951171875,3661.60009765625,3669.0,183
20250918,3643.699951171875,3667.39990234375,3637.0,3654.60009765625,80
20250919,3671.5,3685.89990234375,3658.199951171875,3659.0,211
20250922,3740.699951171875,3748.199951171875,3688.0,3688.199951171875,410
20250923,3780.60009765625,3786.0,3740.0,3747.0,627
20250924,3732.10009765625,3772.5,3732.10009765625,3769.800048828125,588
20250925,3736.89990234375,3756.0,3724.699951171875,3742.800048828125,1899
20250926,3775.300048828125,3775.300048828125,3775.300048828125,3775.300048828125,19308
20250929,3820.89990234375,3827.60009765625,3754.800048828125,3754.800048828125,8860
20250930,3840.800048828125,3865.5,3793.39990234375,3827.5,1611
20251001,3867.5,3891.89990234375,3853.300048828125,3863.5,1778
20251002,3839.699951171875,3888.60009765625,3823.699951171875,3856.199951171875,3418
20251003,3880.800048828125,3886.800048828125,3853.699951171875,3855.199951171875,392
20251006,3948.5,3960.0,3926.800048828125,3931.300048828125,1267
20251007,3976.60009765625,3981.5,3940.0,3959.39990234375,2903
20251008,4043.300048828125,4049.199951171875,3987.199951171875,3987.199951171875,2179
20251009,3946.300048828125,4046.199951171875,3940.0,4011.199951171875,3130
20251010,3975.89990234375,4012.0,3945.5,3957.0,1697
20251013,4108.60009765625,4111.0,4016.0,4016.0,1697
20251014,4138.7001953125,4160.10009765625,4085.800048828125,4131.7001953125,2424
20251015,4176.89990234375,4210.60009765625,4145.0,4145.0,3287
20251016,4280.2001953125,4307.0,4196.60009765625,4198.7998046875,4705
20251017,4189.89990234375,4358.0,4182.2001953125,4354.7001953125,4060
20251020,4336.39990234375,4356.60009765625,4214.60009765625,4244.10009765625,1750
20251021,4087.699951171875,4332.7001953125,4087.699951171875,4332.7001953125,2943
20251022,4044.39990234375,4148.5,4006.0,4109.7001953125,1237
20251023,4125.5,4136.7998046875,4070.699951171875,4078.39990234375,354
20251024,4118.39990234375,4120.60009765625,4074.89990234375,4117.5,123
20251027,4001.89990234375,4078.60009765625,3971.300048828125,4060.0,220
20251028,3966.199951171875,3966.199951171875,3923.60009765625,3929.699951171875,219
20251029,3983.699951171875,3983.699951171875,3983.699951171875,3983.699951171875,1344
20251030,4001.300048828125,4027.199951171875,3913.699951171875,3960.0,935
20251031,3982.199951171875,4034.5,3976.60009765625,4034.5,559
20251103,4000.300048828125,4020.0,3959.0,3976.199951171875,0
20251104,3947.699951171875,3995.39990234375,3927.39990234375,3994.199951171875,657
20251105,3980.300048828125,3983.5,3929.89990234375,3929.89990234375,559
20251106,3979.89990234375,4007.5,3979.89990234375,4004.0,650
20251107,3999.39990234375,3999.39990234375,3980.800048828125,3980.800048828125,245
20251110,4111.7998046875,4111.7998046875,4060.0,4060.0,189
20251111,4106.7998046875,4140.10009765625,4106.7998046875,4140.10009765625,569
20251112,4204.39990234375,4204.39990234375,4102.89990234375,4115.60009765625,396
20251113,4186.89990234375,4228.7001953125,4163.7001953125,4228.7001953125,167
20251114,4087.60009765625,4197.89990234375,4047.0,4197.7001953125,483
20251117,4068.300048828125,4099.5,4019.39990234375,4070.0,1552
20251118,4061.300048828125,4063.39990234375,4035.60009765625,4037.39990234375,1375
20251119,4077.699951171875,4122.7001953125,4072.0,4086.10009765625,486
20251120,4056.5,4090.39990234375,4040.199951171875,4045.0,202
20251121,4076.699951171875,4085.199951171875,4031.800048828125,4031.800048828125,171
20251124,4091.89990234375,4091.89990234375,4060.5,4060.5,591
20251125,4139.2001953125,4139.2001953125,4139.2001953125,4139.2001953125,132704
20251126,4165.2001953125,4171.0,4127.5,4128.60009765625,25088
20251128,4218.2998046875,4223.89990234375,4140.0,4163.39990234375,3615
