Date,Price
20250902,42.77
20250903,42.11
20250904,41.76
20250905,40.86
20250908,40.46
20250909,40.74
20250910,40.32
20250911,40.11
20250912,40.61
20250915,40.34
20250916,40.26
20250917,40.76
20250918,41.04
20250919,41.39
20250922,41.43
20250923,41.2
20250924,41.47
20250925,41.72
20250926,41.87
20250929,41.41
20250930,41.48
20251001,41.06
20251002,40.88
20251003,41.19
20251006,41.62
20251007,41.27
20251008,41.29
20251009,41.48
20251010,40.51
20251013,40.51
20251014,40.22
20251015,40.46
20251016,39.76
20251017,40.07
20251020,39.86
20251021,39.63
20251022,39.53
20251023,39.91
20251024,39.97
20251027,39.97
20251028,39.83
20251029,40.58
20251030,40.93
20251031,41.01
