Date,Price,Open_Interest_B,M2_Supply_B,CPI_YoY_Inflation
20250901,109237.42,75.0,22211.9,3.0
20250902,111240.01,76.0,22211.9,3.0
20250903,111705.71,77.0,22211.9,3.0
20250904,110730.87,78.0,22211.9,3.0
20250905,110659.99,79.0,22211.9,3.0
20250906,110187.97,80.0,22211.9,3.0
20250907,111137.34,81.0,22211.9,3.0
20250908,112065.23,82.0,22211.9,3.0
20250909,111546.39,83.0,22211.9,3.0
20250910,113960.0,84.0,22211.9,3.0
20250911,115482.69,85.0,22211.9,3.0
20250912,116029.42,86.0,22211.9,3.0
20250913,115918.29,87.0,22211.9,3.0
20250914,115268.01,88.0,22211.9,3.0
20250915,115349.71,89.0,22211.9,3.0
20250916,116788.96,90.0,22211.9,3.0
20250917,116447.59,91.0,22211.9,3.0
20250918,117073.53,92.0,22211.9,3.0
20250919,115632.38,92.72,22211.9,3.0
20250920,115685.63,93.44,22211.9,3.0
20250921,115232.29,94.17,22211.9,3.0
20250922,112650.99,94.89,22211.9,3.0
20250923,111998.8,95.61,22211.9,3.0
20250924,113307.0,96.33,22211.9,3.0
20250925,108994.49,97.06,22211.9,3.0
20250926,109643.46,97.78,22211.9,3.0
20250927,109635.85,98.5,22211.9,3.0
20250928,112163.95,99.22,22211.9,3.0
20250929,114311.96,99.94,22211.9,3.0
20250930,114048.93,100.67,22211.9,3.0
20251001,118594.99,101.39,22297.8,2.8
20251002,120529.35,102.11,22297.8,2.8
20251003,122232.0,102.83,22297.8,2.8
20251004,122391.0,103.56,22297.8,2.8
20251005,123482.31,104.28,22297.8,2.8
20251006,124658.54,105.0,22297.8,2.8
20251007,121332.95,104.5,22297.8,2.8
20251008,123306.0,104.0,22297.8,2.8
20251009,121662.4,103.5,22297.8,2.8
20251010,112774.5,100.0,22297.8,2.8
20251011,110644.4,68.0,22297.8,2.8
20251012,114958.8,67.9,22297.8,2.8
20251013,115166.0,67.8,22297.8,2.8
20251014,113028.14,67.7,22297.8,2.8
20251015,110763.28,67.6,22297.8,2.8
20251016,108194.28,67.5,22297.8,2.8
20251017,106431.68,67.4,22297.8,2.8
20251018,107185.01,67.3,22297.8,2.8
20251019,108642.78,67.2,22297.8,2.8
20251020,110532.09,67.1,22297.8,2.8
20251021,108297.67,67.0,22297.8,2.8
20251022,107567.44,66.9,22297.8,2.8
20251023,110078.18,66.8,22297.8,2.8
20251024,111004.89,66.7,22297.8,2.8
20251025,111646.27,66.6,22297.8,2.8
20251026,114559.4,66.5,22297.8,2.8
20251027,114107.65,66.4,22297.8,2.8
20251028,112898.45,66.3,22297.8,2.8
20251029,110021.29,66.2,22297.8,2.8
20251030,108322.88,66.1,22297.8,2.8
20251031,108657.59,66.0,22297.8,2.8
